"# of Use","# de uso"
"%1$s incl tax.","%1$s incl impuestos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y arriba"
"%s-%s of %s","%s-%s de %s"
"Products Information","Información de productos"
"Products Reviews","Reseñas de productos"
"Products Sitemap","Mapa de sitio de productos"
"Products only","Solo productos"
"Products per Page on Grid Allowed Values","Productos por página en Valores de cuadrícula permitida"
"Products per Page on Grid Default Value","Productos por página en valor de cuadrícula por defecto"
"Products per Page on List Allowed Values","Productos por página en valores de lista permitida"
"Products per Page on List Default Value","Productos por página en valor de lista por defecto"
Properties,Propiedades
Qty,Cantidad
"Qty Increments","Incrementos de cantidades"
"Qty Uses Decimals","Cantidad usa decimales"
"Qty for Item\'s Status to Become Out of Stock","Cantidad de estado de artículo/s que se agotará"
Qty:,Cantidad:
Quantity,Cantidad
"Quick Create","Crear rápido"
"Quick Overview","vista rápida"
"Quick simple product creation","Creación rápida y sencilla de productos"
"Records for ""%s"" store found.","Se encontraron registros para la tienda ""%s""."
Redirect,Redirigir
"Redirect URL","Redireccionar URL"
"Regular Price:","Precio regular:"
"Related Products","Productos relacionados"
Remove,Eliminar
"Remove Product From Websites","Eliminar producto de sitios web"
"Remove This Item","Eliminar este elemento"
"Remove attribute from attribute set","Eliminar atributo de conjunto de atributos"
"Remove attribute set","Eliminar conjunto de atributos"
"Remove custom option","Eliminar la opción personalizada"
"Remove group from attribute set","Eliminar grupo del conjunto de atributos"
"Remove option","Eliminar opción"
"Remove product assignment","Eliminar asignación de producto"
"Remove product image","Eliminar imagen de producto"
"Remove product link","Eliminar enlace de producto"
"Remove value from custom option","Eliminar valor de opción personalizada"
"Rename existing group","Cambiar nombre de grupo existente"
"Rename group","Renombrar grupo"
"Reorganize EAV category structure to flat structure","Reorganizar estructura de categoría EAV a estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar estructura de producto EAV en una estructura plana"
Reset,Reiniciar
Results,Resultados
"Results per page","resultados por página"
"Retrieve attribute data","Recuperar datos de atributos"
"Retrieve attribute list","Recuperar lista de atributos"
"Retrieve attribute options","Recuperar opciones de atributo"
"Retrieve categories tree","Recuperar el árbol de categorías"
"Retrieve category attributes","Recuperar atributos de categoría"
"Retrieve category data","Recuperar datos de categoría"
"Retrieve hierarchical tree","Recuperar árbol jerárquico"
"Retrieve linked products","Recuperar productos vinculados"
"Retrieve list of assigned products","Recuperar lista de productos asignados"
"Retrieve list of option values","Recuperar lista de valores de opciones"
"Retrieve list of product custom options","Recuperar lista de opciones personalizadas de producto"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitio web/vista de tienda/categoría principal"
"Retrieve option value info","Recuperar información de valor de opción"
"Retrieve product","Recuperar producto"
"Retrieve product attribute sets","Recuperar conjuntos de atributos del producto"
"Retrieve product image","Recuperar imagen del producto"
"Retrieve product image list","Recuperar la lista de imágenes del producto"
"Retrieve product image types","Recuperar tipos de imágenes de productos"
"Retrieve product link type attributes","Recuperar atributos de tipo de enlace de producto"
"Retrieve product link types","Recuperar tipos de enlaces de productos"
"Retrieve product tier prices","Recuperar precios de nivel de producto"
"Retrieve product types","Recuperar tipos de productos"
"Retrieve products data","Recuperar datos de productos"
"Retrieve products list by filters","Recuperar lista de productos por filtros"
Reviews,Comentarios
"Roll Over for preview","Pasar por la vista previa"
Root,Raíz
SKU,SKU
"SKU length should be %s characters maximum.","La longitud del SKU debe ser de% s caracteres como máximo."
Save,Salvar
"Save Attribute","Guardar atributo"
"Save Attribute Set","Guardar conjunto de atributos"
"Save Category","Guardar categoría"
"Save Search","Guardar búsqueda"
"Save and Continue Edit","Guardar y continuar Edición"
"Saved %d record(s)","Guardado %d registro(s)"
Scope,Alcance
"Scope must not be changed, because the attribute is used in configurable products.","El alcance no debe modificarse, ya que el atributo se usa en productos configurables."
Search,Buscar
"Search Engine Optimizations","Optimizaciones de motores de búsqueda"
"Search Information","Información de búsqueda"
"Search Query","Consulta de busqueda"
"Search Term with such search query already exists.","El término de búsqueda con esa consulta de búsqueda ya existe."
"Search Weight","Buscar peso"
Searchable,Buscable
"See price before order confirmation.","Ver precio antes de confirmación depedido."
"Select Category...","Seleccionar categoría..."
"Select Configurable Attributes","Seleccionar atributos configurables"
"Select Product...","Seleccionar producto..."
"Select type of option","Seleccionar  tipo de opción"
"Select type options required values rows.","Seleccione las opciones de tipo de filas de valores requeridos."
"Selected Product Types","Tipos de productos seleccionados"
"Send Count","Enviar conteo"
"Set Ascending Direction","Establecer dirección ascendente"
"Set Descending Direction","Establecer dirección descendente"
"Set Name","Establecer nombre"
"Set Root Category for Store","Establecer categoría raíz para tienda"
"Set root category for this store in the <a href=""%s"">configuration</a>","Establecer categoría raíz para esta tienda en la <a href=""%s""> configuración </a>"
"Set special price","Establecer precio especial"
"Set/Get current store view","Establecer/Obtener vista actual de la tienda"
Settings,Configuraciones
"Share Facebook","Compartir Facebook"
"Share on Facebook","Compartir en Facebook"
"Share on Twitter","Compartir en Twitter"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
Show,Mostrar
"Show Details","Mostrar detalles"
"Show Tags","Mostrar etiquetas"
"Simple Product","Producto simple"
"Site Map","Mapa de sitio"
Sitemap,"Mapa de sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Omitir importar fila, no es el valor válido ""%s"" para el campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Omitir importar fila, el campo obligatorio ""%s"" para el nuevo cliente no está definido."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Omitir importar fila, el valor ""%s"" no es válido para el campo ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Omitiendo importar fila, el campo obligatorio ""%s"" para productos nuevos no está definido."
"Skipping import row, required field ""%s"" is not defined.","Omitiendo importar fila,  el campo obligatorio ""% s"" no está definido."
"Skipping import row, store ""%s"" field does not exist.","Omitiendo importar fila,  el campo ""% s"" de la tienda no existe."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Omitiendo importar fila, el valor ""%s"" no es válido para el campo ""%s""."
"Small Image Width","Ancho de imagen pequeña"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Algunos de los productos procesados no tienen definido el valor de SKU. Por favor, llénelo antes de realizar operaciones en estos productos."
"Some of the selected item options are not currently available.","Algunas de las opciones de elementos seleccionados no están disponibles actualmente."
"Sort By","Ordenar por"
"Sort Order","Orden de clasificación"
"Source Model","Modelo de fuente"
"Special Expires On: %s","Especial expira el: %s"
"Special Price:","Precio especial:"
"Special Price: %s","Precios especial: %s"
"Starting at:","A partir de:"
Static,Estático
"Static block and products","Bloque estático y productos"
"Static block only","Solo bloque estático"
Status,Estado
"Stock Availability","Disponibilidad de stock"
Store,Almacenar
"Store View","Vista de la tienda"
Stretch,Tramo
"Subscribe to RSS Feed","Suscribirse a la fuente RSS"
"Super product attributes configuration","Configuración de atributos de super producto"
"Synonym For","Sinónimo de"
"System Properties","Propiedades del sistema"
"Tag Name","Nombre de etiqueta"
Tax,Impuesto
Template,Modelo
Text,Texto
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","El módulo de catálogo plano tiene un límite de %2\$d atributos filtrables y/o ordenables. Actualmente hay %1\$ d de ellos. Reduzca el número de atributos filtrables / clasificables para usar este módulo"
"The From Date value should be less than or equal to the To Date value.","El valor 'desde' debe ser menor o igual que el valor 'hasta'."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","El código de atributo \'%s\' está reservado por el sistema. Por favor, pruebe con otro código de atributo"
"The attribute model is not defined","El modelo de atributo no está definido"
"The attribute set has been saved.","El conjunto de atributos se ha guardado."
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no está especificado."
"The category has been deleted.","La categoría ha sido eliminada."
"The category has been saved.","La categoría ha sido guardada."
"The comparison list was cleared.","La lista de comparación fue borrada."
"The file '%s' for '%s' has an invalid extension","El archivo '%s' para '%s' tiene una extensión no válida"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","El archivo '%s' que cargó es más grande que %s Megabytes permitido por el servidor"
"The file you uploaded is larger than %s Megabytes allowed by server","El archivo que cargó es más grande que %s Megabytes permitido por el servidor"
"The filters must be an array.","Los filtros deben ser un colección."
"The image contents is not valid base64 data.","El contenido de la imagen no es válido para los datos de base64."
"The image is not specified.","La imagen no está especificada"
"The model collection resource name is not defined.","El nombre del recurso de la colección modelo no está definido."
"The product %s has been added to comparison list.","El producto %s se ha agregado a la lista de comparación."
"The product %s has been removed from comparison list.","El producto %s ha sido eliminado de la lista de comparación."
"The product attribute has been deleted.","El atributo de producto ha sido eliminado."
"The product attribute has been saved.","El atributo de producto ha sido guardado."
"The product has been created.","El producto ha sido creado."
"The product has been deleted.","El producto ha sido eliminado."
"The product has been duplicated.","El producto ha sido duplicado."
"The product has been saved.","El producto ha sido guardado."
"The product has required options","El producto tiene opciones requeridas"
"The review has been deleted","La revisión ha sido eliminada"
"The review has been saved.","La revisión ha sido guardada."
"The review was removed by another user or does not exist.","La revisión fue eliminada por otro usuario o no existe."
"The search was deleted.","La búsqueda fue eliminada."
"The text is too long","El texto es demasiado largo"
"There are no %s available.","No hay %s disponibles."
"There are no customers for this alert","No hay clientes para esta alerta"
"There are no customers for this alert.","No hay clientes para esta alerta."
"There are no products matching the selection.","No hay productos que coincidan con la selección."
"There was an error while request processing.","Hubo un error al solicitar el procesamiento."
"This Attribute no longer exists","Este atributo ya no existe"
"This attribute cannot be deleted.","Este atributo no puede ser eliminado."
"This attribute cannot be edited.","Este atributo no puede ser editado."
"This attribute cannot be updated.","Este atributo no se puede actualizar."
"This attribute is used in configurable products.","Este atributo se usa en productos configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se usa en productos configurables. No puede eliminarlo del conjunto de atributos."
"This attribute no longer exists","Este atributo ya no existe"
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contiene atributos, utilizados en productos configurables. Mueva estos atributos a otro grupo y vuelva a intentarlo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos de sistema. Mueva los atributos de sistema a otro grupo y vuelva a intentarlo."
"This is a required option","esta es una opción requerida."
"This product no longer exists.","Este producto ya no existe."
"This search no longer exists.","Esta búsqueda ya no existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuración se aplicará cuando todos los precios en el intervalo de precio específico sean iguales."
"Tier Pricing","Precios de nivel"
Tile,Cubrir
"Time Format","Formato de horario"
Title,Título
"To reindex the enabled product(s), the store or product must be specified","Para reindexar productos) habilitados, se debe especificar la tienda o el producto."
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del producto, agregue este artículo a su carrito. Puedes borrarlo después."
Top/Left,Arriba/izquierda
Top/Right,Arriba/derecha
"Total Qty Base Items","Cantidad total de elementos base"
"Total Qty Content Items","Cantidad total de elementos de contenido"
"Total incl. Tax: %1$s","Total incl. Impuesto: %1$s"
"Total of %d record(s) have been deleted.","Total de %d registro (s) se han eliminado."
"Total of %d record(s) have been updated.","Total de %d registro (s) se han actualizado."
"Total of %d record(s) were updated","Total de %d registro (s) actualizado"
Type,Tipo
"URL Rewrite Management","Gestión de reescritura de URL"
"Unable to complete this request.","No se puede completar esta solicitud."
"Unable to find a search term to delete.","No se puede encontrar un término de búsqueda para eliminar."
"Unable to find an attribute to delete.","No se puede encontrar un atributo para eliminar."
"Unable to get the product ID.","No se puede obtener el ID de producto."
"Unassigned Attributes","Atributos no asignados"
"Unknown EAV indexer type ""%s"".","Tipo desconocido de EAV  ""% s""."
"Unknown attribute: %s.","Atributo desconocido: %s."
"Unsupported product type ""%s"".","Tipo de producto no compatible ""%s""."
Up-sells,"Ventas adicionales"
Update,Actualizar
"Update Attributes","actualizar atributos"
"Update Tier Price","Actualizar precio de nivel"
"Update assigned product","Actualizar producto asignado"
"Update attribute","actualizar atributo"
"Update attributes","actualizar atributos"
"Update category","Actualizar categoría"
"Update custom option of product","Actualizar opción personalizada de producto"
"Update product","Actualizar producto"
"Update product image","Actualizar imagen de producto"
"Update product link","Actualizar enlace de producto"
"Update product tier prices","Actualizar precios de nivel de producto"
"Update value of custom option","Actualizar valor de opción personalizada"
"Upload new product image","Cargar nueva imagen de producto"
"Use Canonical Link Meta Tag For Categories","Usar Meta etiqueta de enlace canonico para categorías"
"Use Canonical Link Meta Tag For Products","Usar Meta etiqueta de enlace canonico para productos"
"Use Categories Path for Product URLs","Usar ruta de categorías para las URL de productos"
"Use Config Settings","Usar ajustes de configuración"
"Use Default Value","Usar valor predeterminado"
"Use Flat Catalog Category","Usar categoría de catálogo plana"
"Use Flat Catalog Product","Utilice el producto de catálogo plano"
"Use In Layered Navigation","Usar en Capas de navegación"
"Use In Search Results Layered Navigation","Usar en navegación en capas de resultados de búsqueda"
"Use JavaScript Calendar","Usar  calendario de JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar las URL estáticas para contenido multimedia en WYSIWYG para el catálogo"
"Use To Create Configurable Product","Usar para crear producto configurable"
"Use Tree Like Category Sitemap","Usar mapa de stio de categoría de árbol"
"Use config","Usar configuración"
"Use default","Usar por defecto"
"Use for Promo Rule Conditions","Usar para las condiciones de regla promocional"
"Use four-digit year format.","Usar el formato de año de cuatro dígitos."
"Use in Advanced Search","Usar en Búsqueda avanzada"
"Use in Layered Navigation","Usar en navegación en capas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar en la Navegación en capas <br/> (Se puede usar solo con el tipo de entrada de catálogo 'Desplegable')"
"Use in Quick Search","Usar en Búsqueda rápida"
"Used for Sorting in Product Listing","Usado para clasificación en la lista de productos"
"Used in Product Listing","Usado en lista de productos"
"Value for ""%s"" is invalid.","El valor de ""%s"" no es válido."
"Value for ""%s"" is invalid: %s","El valor de ""%s"" no es válido: %s"
Varchar,Varchar
"View Details","Ver detalles"
"View as","Ver como"
"Virtual Product","Producto virtual"
Visibility,Visibilidad
Visible,Visible
"Visible on Catalog Pages on Front-end","Visible en las páginas de catálogo en Front-end"
"Visible on Product View Page on Front-end","Visible en la página de vista del producto en Front-end"
"WYSIWYG Editor","Editor WYSIWYG"
Watermark,"Marca de agua"
"Watermark Default Size","Tamaño predeterminado de marca de agua"
"Watermark Opacity, Percent","Opacidad de marca de agua, porcentaje"
"Watermark Position","Posición de marca de agua"
"We Also Recommend","Nosotros también recomendamos"
Website,"Sitio web"
"Website Item Must be checked","El elemento de sitio web debe ser revisado"
"Website Store Must be checked","La tienda del sitio web debe ser revisada"
Websites,"Sitios web"
"What's this?","¿Qué es esto?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Si se debe mostrar la opción ""Todos"" en el menú desplegable ""Mostrar X por página""."
"Will make search for the query above return results for this search.","Hará que la búsqueda de la consulta anterior arroje resultados para esta búsqueda."
"Wrong BuyRequest instance in options group.","Opción de pedido de compra incorrecta en el grupo de opciones."
"Wrong configuration item instance in options group.","Ejemplo de elemento de configuración erróneo en el grupo de opciones."
"Wrong configuration item option instance in options group.","Opción de opción de elemento de configuración incorrecta en el grupo de opciones."
"Wrong option instance type in options group.","Tipo de instancia de opción incorrecta en el grupo de opciones."
"Wrong option type to get group instance.","Tipo de opción incorrecta para obtener la instancia del grupo."
"Wrong product instance type in options group.","Tipo de instancia de producto incorrecto en el grupo de opciones."
"Wrong product type filter specified","Se ha especificado un filtro de tipo de producto erróneo"
"Wrong product type to extract configurable options.","Tipo de producto incorrecto para extraer opciones configurables."
"Year Range","Rango de año"
Yes,Sí
"You cannot remove system attribute from this set.","No puede eliminar el atributo de sistema de este conjunto."
"You have no items to compare.","No tiene articulos para comparar."
"You may also be interested in the following product(s)","Puede que también le interesen los siguientes productos"
"Zoom In",Acercarse
"Zoom Out",Alejarse
and,y
"and above","y por encima"
categories,categorías
each,cada
"ex. http://domain.com","ex. http://dominio.com"
"leave blank if its not an image","dejar en blanco si no es una imagen"
"per page","por página"
products,productos
px.,pixeles
save,guardar
"select all","seleccionar todo"
"unselect all","deseleccionar todo"
x,x
"My Wishlist","mi lista de deseos"
"My Cart","Mi carrito"
Checkout,Revisar
"Log In","Iniciar sesión"
QuickView,"Vista rápida"
"Latest Post","Última publicación"
"Be the first to review this product","Sé el primero en revisar este producto"
"All lands in play are destroyed","Todas las tierras en juego son destruidas"
"Back to Main Product Info","Volver a la información del producto principal"
"Customer Reviews","Opiniones de los usuarios"
"Write Your Own Review","Escriba su propia opinión"
"You're reviewing","Estás revisando"
Nickname,Apodo
"Summary of Your Review","resumen de tu revisión"
"Submit Review","Enviar opinión"
Images,Imágenes
Edit,Editar
"Unit Price","Precio unitario"
"Estimate Shipping and Tax","Envío e impuesto estimado"
"Discount Codes","Códigos de descuento"
"Grand Total","Gran total"
"Checkout with Multiple Addresses","Pago con múltiples direcciones"
Country,País
State/Province,Estado/Provincia
"Zip/Postal Code","Código postal"
